token,class,count
ストレス,SSI_low,7
ストレッチ,SSI_high,0
ストレッチ,SSI_low,1
ストレングスファインダー,SSI_high,1
ストレングスファインダー,SSI_low,0
スパイス,SSI_high,1
スパイス,SSI_low,0
スピード,SSI_high,1
スピード,SSI_low,0
スポット,SSI_high,0
スポット,SSI_low,1
スマホ,SSI_high,2
スマホ,SSI_low,2
スムーズ,SSI_high,2
スムーズ,SSI_low,2
スルー,SSI_high,0
スルー,SSI_low,1
スーツ,SSI_high,0
スーツ,SSI_low,1
セイバン,SSI_high,2
セイバン,SSI_low,0
セクション,SSI_high,0
セクション,SSI_low,1
セッション,SSI_high,1
セッション,SSI_low,1
セット,SSI_high,1
セット,SSI_low,1
セブン,SSI_high,1
セブン,SSI_low,0
ソニー,SSI_high,1
ソニー,SSI_low,0
ソフトクリームオレ,SSI_high,1
ソフトクリームオレ,SSI_low,0
ゾンビ,SSI_high,1
ゾンビ,SSI_low,0
タイト,SSI_high,1
タイト,SSI_low,1
タイミング,SSI_high,0
タイミング,SSI_low,1
タクシー,SSI_high,0
タクシー,SSI_low,1
タケノコ,SSI_high,0
タケノコ,SSI_low,1
タスク,SSI_high,0
タスク,SSI_low,1
タフ,SSI_high,0
タフ,SSI_low,1
タマゴ,SSI_high,1
タマゴ,SSI_low,0
タルト,SSI_high,1
タルト,SSI_low,0
タレント,SSI_high,0
タレント,SSI_low,1
ターゲット,SSI_high,0
ターゲット,SSI_low,1
ダイアログ,SSI_high,2
ダイアログ,SSI_low,0
ダイエット,SSI_high,0
ダイエット,SSI_low,1
ダイキン,SSI_high,1
ダイキン,SSI_low,0
ダウン,SSI_high,0
ダウン,SSI_low,1
ダスキン,SSI_high,2
ダスキン,SSI_low,1
ダッサー,SSI_high,0
ダッサー,SSI_low,1
ダブル,SSI_high,1
ダブル,SSI_low,0
ダメージ,SSI_high,1
ダメージ,SSI_low,0
チャレンジ,SSI_high,0
チャレンジ,SSI_low,3
チャンス,SSI_high,0
チャンス,SSI_low,1
チュノム,SSI_high,0
チュノム,SSI_low,1
チーム,SSI_high,10
チーム,SSI_low,16
チームワーク,SSI_high,0
チームワーク,SSI_low,1
チーム内,SSI_high,1
チーム内,SSI_low,1
ツッチー,SSI_high,1
ツッチー,SSI_low,0
ツメ,SSI_high,0
ツメ,SSI_low,1
テスト,SSI_high,1
テスト,SSI_low,0
テレビ,SSI_high,2
テレビ,SSI_low,0
テレワーク,SSI_high,6
テレワーク,SSI_low,5
テンション,SSI_high,1
テンション,SSI_low,8
テーマ,SSI_high,1
テーマ,SSI_low,0
ディスカッション,SSI_high,2
ディスカッション,SSI_low,2
ディナー,SSI_high,0
ディナー,SSI_low,1
ディレクタ,SSI_high,0
ディレクタ,SSI_low,1
デイリー,SSI_high,1
デイリー,SSI_low,0
デジタル,SSI_high,0
デジタル,SSI_low,3
デリカシー,SSI_high,0
デリカシー,SSI_low,1
デー,SSI_high,1
デー,SSI_low,1
データ,SSI_high,0
データ,SSI_low,1
トップ,SSI_high,0
トップ,SSI_low,1
トラブル,SSI_high,0
トラブル,SSI_low,2
トレーニング,SSI_high,0
トレーニング,SSI_low,1
トレーニー,SSI_high,1
トレーニー,SSI_low,0
トンマナ,SSI_high,0
トンマナ,SSI_low,1
ナカマ,SSI_high,0
ナカマ,SSI_low,1
ナレーション,SSI_high,0
ナレーション,SSI_low,1
ニュース,SSI_high,0
ニュース,SSI_low,2
ニラレバ,SSI_high,0
